customer_id,stock_code,quantity,price,country,customer_age,gender,customer_segment,marketing_channel,category,subcategory,discount_applied,payment_method,delivery_time_days,churn_flag
25,Other,12,1.55,United Kingdom,52,Female,New,Ads,Clothing,Women,no,PayPal,7,churned
26,21114,20,1.25,United Kingdom,59,Male,New,Referral,Stationery,Pens,no,Credit Card,7,active
27,Other,24,0.65,United Kingdom,33,Male,VIP,Email,Kitchen,Utensils,no,PayPal,8,churned
28,Other,1,7.5,United Kingdom,33,Male,New,Organic,Stationery,Art,no,PayPal,3,churned
29,Other,1,7.5,United Kingdom,59,Female,New,Ads,Stationery,Pens,no,Credit Card,8,churned
30,Other,6,2.95,United Kingdom,58,Female,Regular,Referral,Clothing,Men,no,Credit Card,9,churned
31,Other,6,2.95,United Kingdom,70,Female,VIP,Ads,Clothing,Men,no,Cash,1,churned
32,22451,6,3.35,United Kingdom,65,Female,Regular,Referral,Clothing,Men,no,Credit Card,7,churned
33,Other,6,3.35,United Kingdom,69,Female,Regular,Email,Home Decor,Frames,no,Cash,2,active
34,22449,6,3.35,United Kingdom,18,Male,New,Ads,Kitchen,Storage,no,Credit Card,1,churned
35,22569,4,3.75,United Kingdom,18,Female,VIP,Organic,Clothing,Kids,no,PayPal,3,churned
36,Other,12,1.65,United Kingdom,36,Female,New,Ads,Home Decor,Lights,no,PayPal,5,active
37,Other,12,0.85,United Kingdom,70,Female,New,Organic,Clothing,Kids,yes,PayPal,1,active
38,Other,20,0.65,United Kingdom,77,Male,New,Email,Toys,Outdoor,no,Bank Transfer,9,churned
39,Other,20,0.85,United Kingdom,55,Female,New,Organic,Electronics,Cables,no,Credit Card,5,churned
40,Other,24,0.65,United Kingdom,45,Male,Regular,Ads,Clothing,Women,no,PayPal,6,active
41,21703,24,0.42,United Kingdom,71,Male,VIP,Ads,Toys,Kids,no,PayPal,2,active
42,21156,8,1.95,United Kingdom,31,Male,Regular,Email,Electronics,Accessories,no,Bank Transfer,8,churned
43,Other,12,0.85,United Kingdom,25,Female,New,Organic,Home Decor,Decor,no,Credit Card,1,churned
44,Other,12,0.85,United Kingdom,37,Female,Regular,Email,Electronics,Gadgets,no,Cash,5,active
45,84992,24,0.55,United Kingdom,37,Male,VIP,Referral,Electronics,Cables,no,Cash,8,active
46,21975,24,0.55,United Kingdom,59,Female,VIP,Referral,Stationery,Pens,no,Credit Card,8,churned
47,Other,24,0.65,United Kingdom,46,Female,VIP,Email,Electronics,Gadgets,no,Bank Transfer,6,active
48,Other,25,0.42,United Kingdom,18,Male,Regular,Email,Stationery,Pens,yes,PayPal,1,churned
49,Other,25,0.42,United Kingdom,61,Female,VIP,Organic,Kitchen,Utensils,no,Bank Transfer,5,active
50,Other,24,0.42,United Kingdom,43,Female,VIP,Referral,Kitchen,Utensils,no,PayPal,8,active
51,22045,25,0.42,United Kingdom,35,Male,Regular,Referral,Electronics,Gadgets,no,Cash,6,churned
52,22029,24,0.42,United Kingdom,74,Male,Regular,Organic,Toys,Puzzles,no,Bank Transfer,9,churned
53,Other,25,0.42,United Kingdom,56,Male,Regular,Referral,Toys,Outdoor,no,Credit Card,4,churned
54,Other,25,0.42,United Kingdom,42,Female,New,Referral,Kitchen,Utensils,no,Credit Card,9,churned
55,Other,25,0.42,United Kingdom,60,Male,VIP,Ads,Kitchen,Storage,no,PayPal,9,active
56,Other,6,2.95,United Kingdom,29,Male,Regular,Organic,Toys,Kids,no,Cash,4,churned
57,20974,24,0.65,United Kingdom,61,Male,VIP,Ads,Stationery,Books,no,PayPal,5,active
58,Other,4,3.75,United Kingdom,65,Male,New,Email,Stationery,Art,no,Cash,4,churned
59,20970,4,3.75,United Kingdom,18,Male,VIP,Referral,Toys,Puzzles,no,PayPal,7,active
60,20969,4,3.75,United Kingdom,36,Female,New,Referral,Kitchen,Appliances,no,Bank Transfer,5,active
61,Other,4,3.75,United Kingdom,31,Female,Regular,Ads,Stationery,Books,no,PayPal,7,active
62,84270,27,0.21,United Kingdom,70,Male,New,Email,Toys,Outdoor,no,PayPal,1,churned
63,22618,4,7.5,United Kingdom,31,Male,New,Organic,Kitchen,Storage,no,Bank Transfer,4,active
64,Other,24,4.25,United Kingdom,32,Female,New,Ads,Electronics,Cables,no,Cash,3,churned
65,21137,27,3.39,United Kingdom,37,Male,VIP,Email,Toys,Kids,no,Credit Card,2,churned
66,84032A,27,1.25,United Kingdom,71,Male,Regular,Referral,Home Decor,Frames,no,Credit Card,3,active
67,Other,24,1.95,United Kingdom,79,Female,New,Organic,Stationery,Pens,no,Credit Card,1,active
68,Other,24,1.25,United Kingdom,21,Female,New,Organic,Clothing,Men,no,Cash,4,churned
69,22077,12,1.65,United Kingdom,53,Female,VIP,Referral,Home Decor,Decor,no,Credit Card,4,churned
70,85123A,6,2.95,United Kingdom,49,Male,VIP,Organic,Toys,Puzzles,no,PayPal,7,churned
71,84978,12,1.25,United Kingdom,59,Female,VIP,Referral,Stationery,Pens,no,Bank Transfer,7,churned
72,Other,12,1.25,United Kingdom,74,Male,VIP,Referral,Kitchen,Appliances,no,PayPal,6,churned
73,Other,6,2.95,United Kingdom,63,Male,VIP,Ads,Clothing,Kids,no,PayPal,1,churned
74,21623,2,7.5,United Kingdom,61,Female,New,Referral,Electronics,Gadgets,no,Bank Transfer,1,active
75,Other,12,1.49,United Kingdom,78,Female,VIP,Organic,Kitchen,Utensils,no,Cash,3,active
76,Other,12,1.49,United Kingdom,63,Male,VIP,Organic,Electronics,Cables,no,Cash,8,churned
77,22646,12,1.45,United Kingdom,78,Female,VIP,Referral,Toys,Outdoor,no,PayPal,2,active
78,21114,10,1.25,United Kingdom,78,Female,VIP,Referral,Toys,Puzzles,no,PayPal,4,churned
79,22112,3,4.95,United Kingdom,65,Female,New,Organic,Electronics,Cables,no,Bank Transfer,7,churned
80,22489,24,0.42,United Kingdom,34,Female,VIP,Email,Toys,Puzzles,no,PayPal,5,churned
81,22149,6,2.1,United Kingdom,43,Female,VIP,Ads,Toys,Kids,no,Credit Card,7,churned
82,Other,12,0.85,United Kingdom,22,Female,Regular,Organic,Kitchen,Utensils,no,Cash,7,churned
83,21677,12,0.85,United Kingdom,27,Female,VIP,Ads,Electronics,Gadgets,no,Cash,5,active
84,22748,6,2.1,United Kingdom,23,Male,VIP,Ads,Electronics,Gadgets,no,Bank Transfer,4,active
85,22745,6,2.1,United Kingdom,44,Male,New,Referral,Electronics,Cables,no,PayPal,1,active
86,Other,12,1.65,United Kingdom,75,Male,VIP,Referral,Toys,Outdoor,no,Cash,2,churned
87,21918,24,0.42,United Kingdom,31,Male,New,Referral,Stationery,Books,no,PayPal,1,active
88,Other,6,2.95,United Kingdom,20,Male,VIP,Organic,Toys,Outdoor,no,Bank Transfer,9,churned
89,Other,4,3.75,United Kingdom,77,Female,New,Referral,Stationery,Art,no,Credit Card,7,active
90,21192,12,1.65,United Kingdom,77,Male,New,Ads,Kitchen,Storage,no,Credit Card,6,active
91,22561,12,1.65,United Kingdom,43,Female,VIP,Ads,Clothing,Women,no,PayPal,9,active
92,21429,8,1.65,United Kingdom,28,Male,VIP,Email,Stationery,Art,no,PayPal,5,active
93,22419,12,0.42,United Kingdom,57,Male,VIP,Email,Home Decor,Decor,yes,Bank Transfer,7,churned
94,20978,16,1.25,United Kingdom,67,Male,New,Email,Kitchen,Storage,no,Credit Card,7,churned
95,20979,16,1.25,United Kingdom,26,Female,VIP,Referral,Stationery,Pens,no,Credit Card,7,churned
96,Other,8,2.95,United Kingdom,59,Male,New,Referral,Kitchen,Utensils,no,Cash,6,churned
97,21811,12,1.25,United Kingdom,56,Female,New,Ads,Stationery,Pens,yes,PayPal,7,active
98,84879,8,1.69,United Kingdom,43,Male,VIP,Ads,Electronics,Gadgets,no,Cash,5,churned
99,84755,16,0.65,United Kingdom,46,Male,VIP,Organic,Toys,Kids,no,Credit Card,7,active
100,Other,12,1.65,United Kingdom,37,Female,VIP,Ads,Electronics,Cables,yes,Credit Card,9,churned
101,20846,12,1.25,United Kingdom,27,Male,VIP,Organic,Home Decor,Decor,yes,Bank Transfer,2,churned
102,22792,12,0.85,United Kingdom,66,Female,VIP,Referral,Home Decor,Lights,no,Bank Transfer,3,active
103,22801,4,3.75,United Kingdom,73,Male,VIP,Organic,Kitchen,Utensils,yes,Bank Transfer,4,active
104,22178,12,1.25,United Kingdom,27,Male,New,Referral,Home Decor,Frames,no,Bank Transfer,2,churned
105,22791,12,1.25,United Kingdom,34,Female,New,Organic,Kitchen,Storage,no,Credit Card,2,active
106,84347,6,2.55,United Kingdom,32,Female,VIP,Referral,Kitchen,Utensils,no,Credit Card,5,active
107,22599,12,0.85,United Kingdom,40,Male,Regular,Email,Kitchen,Utensils,no,PayPal,2,active
108,22597,12,0.85,United Kingdom,64,Male,VIP,Referral,Clothing,Kids,yes,PayPal,8,active
109,22598,12,0.85,United Kingdom,48,Male,Regular,Organic,Clothing,Men,no,Bank Transfer,5,churned
110,21314,8,2.1,United Kingdom,54,Female,New,Email,Kitchen,Storage,yes,Bank Transfer,7,churned
111,Other,12,1.65,United Kingdom,27,Female,New,Email,Home Decor,Frames,no,Credit Card,9,active
112,22575,8,1.95,United Kingdom,56,Female,VIP,Organic,Toys,Puzzles,yes,PayPal,3,churned
113,22737,10,1.65,United Kingdom,77,Female,Regular,Email,Kitchen,Utensils,no,Cash,4,churned
114,22633,12,2.1,United Kingdom,43,Female,New,Email,Clothing,Men,yes,Bank Transfer,7,active
115,22110,6,2.55,United Kingdom,30,Male,Regular,Referral,Electronics,Cables,no,PayPal,3,churned
116,21488,4,3.95,United Kingdom,43,Male,VIP,Organic,Stationery,Books,no,Credit Card,3,churned
117,Other,24,1.25,United Kingdom,37,Male,New,Email,Kitchen,Storage,no,Credit Card,8,active
118,Other,6,2.95,United Kingdom,71,Male,New,Ads,Stationery,Art,yes,PayPal,6,churned
119,22798,8,2.95,United Kingdom,34,Male,New,Email,Toys,Puzzles,no,Cash,8,churned
120,22637,6,2.55,United Kingdom,35,Male,VIP,Ads,Toys,Outdoor,no,PayPal,4,active
121,22855,12,1.25,United Kingdom,57,Male,New,Ads,Stationery,Art,no,PayPal,4,churned
122,Other,4,3.95,United Kingdom,35,Female,VIP,Email,Stationery,Art,yes,Cash,3,churned
123,21931,27,1.65,United Kingdom,61,Male,VIP,Ads,Stationery,Art,no,Cash,4,churned
124,21929,20,1.65,United Kingdom,76,Female,New,Referral,Home Decor,Decor,no,Bank Transfer,8,churned
125,21928,20,1.65,United Kingdom,48,Female,VIP,Ads,Home Decor,Decor,no,Bank Transfer,9,churned
126,Other,20,1.65,United Kingdom,58,Male,Regular,Referral,Clothing,Men,yes,Bank Transfer,5,active
127,20712,20,1.65,United Kingdom,56,Male,New,Email,Clothing,Kids,no,Bank Transfer,3,active
128,22890,12,7.5,United Kingdom,54,Female,Regular,Email,Electronics,Accessories,no,Bank Transfer,9,active
129,22780,12,3.75,United Kingdom,65,Female,VIP,Ads,Stationery,Art,no,Cash,9,active
130,21351,16,1.95,United Kingdom,18,Male,Regular,Ads,Toys,Puzzles,yes,PayPal,5,active
131,22093,27,0.42,United Kingdom,56,Male,Regular,Organic,Kitchen,Utensils,no,PayPal,2,active
132,Other,27,0.42,United Kingdom,76,Male,New,Organic,Kitchen,Utensils,no,Bank Transfer,7,churned
133,Other,27,0.42,United Kingdom,23,Male,Regular,Ads,Toys,Puzzles,yes,PayPal,7,churned
134,Other,12,3.95,United Kingdom,22,Male,VIP,Email,Stationery,Books,no,Cash,7,active
135,Other,12,3.95,United Kingdom,18,Female,Regular,Referral,Toys,Kids,no,Bank Transfer,3,active
136,Other,12,3.95,United Kingdom,25,Male,VIP,Email,Clothing,Women,no,Bank Transfer,6,churned
137,Other,27,0.85,United Kingdom,56,Male,New,Email,Clothing,Men,no,Credit Card,2,churned
138,Other,27,0.85,United Kingdom,52,Female,New,Ads,Toys,Outdoor,no,Credit Card,3,churned
139,85039A,27,0.42,United Kingdom,77,Male,New,Email,Kitchen,Storage,no,Cash,2,active
140,85132B,24,1.95,United Kingdom,66,Male,Regular,Ads,Toys,Kids,no,Cash,6,churned
141,85132A,24,1.95,United Kingdom,25,Male,Regular,Referral,Home Decor,Decor,no,Bank Transfer,5,churned
142,Other,12,1.45,United Kingdom,24,Female,VIP,Ads,Toys,Outdoor,no,Bank Transfer,4,churned
143,21232,24,1.06,United Kingdom,59,Female,New,Referral,Stationery,Art,no,Cash,8,active
144,21231,24,1.06,United Kingdom,71,Male,Regular,Email,Home Decor,Decor,no,Bank Transfer,8,churned
145,Other,21,4.65,United Kingdom,39,Female,Regular,Email,Kitchen,Utensils,yes,PayPal,8,active
146,22198,24,1.45,United Kingdom,35,Female,VIP,Email,Electronics,Accessories,yes,Bank Transfer,3,churned
147,22197,27,0.72,United Kingdom,24,Male,New,Referral,Stationery,Art,yes,PayPal,1,churned
148,20724,20,0.72,United Kingdom,31,Male,New,Organic,Kitchen,Storage,no,Bank Transfer,9,active
149,20723,27,0.72,United Kingdom,50,Female,New,Email,Clothing,Women,no,Credit Card,2,churned
150,20719,27,0.72,United Kingdom,55,Female,VIP,Ads,Kitchen,Appliances,no,Credit Card,5,churned
151,22661,27,0.72,United Kingdom,43,Female,New,Ads,Home Decor,Frames,no,Cash,4,churned
152,22356,20,0.72,United Kingdom,45,Male,VIP,Referral,Stationery,Books,yes,Bank Transfer,9,churned
153,22355,27,0.72,United Kingdom,28,Male,New,Referral,Kitchen,Appliances,no,Bank Transfer,5,active
154,85099F,20,1.65,United Kingdom,72,Male,VIP,Organic,Clothing,Women,no,Bank Transfer,2,active
155,85099C,20,1.65,United Kingdom,64,Female,New,Organic,Toys,Outdoor,no,Bank Transfer,9,churned
156,85099B,27,1.65,United Kingdom,66,Female,VIP,Organic,Stationery,Pens,no,Credit Card,4,churned
157,22411,20,1.65,United Kingdom,69,Female,New,Email,Stationery,Books,no,Bank Transfer,5,active
158,Other,27,1.65,United Kingdom,27,Male,Regular,Referral,Clothing,Women,no,PayPal,2,churned
159,22385,20,1.65,United Kingdom,65,Female,New,Email,Stationery,Pens,no,PayPal,1,active
160,22890,24,7.5,United Kingdom,64,Female,Regular,Email,Electronics,Gadgets,no,PayPal,4,churned
161,Other,2,7.5,United Kingdom,32,Male,New,Ads,Electronics,Cables,yes,PayPal,3,active
162,21484,27,2.95,United Kingdom,21,Female,VIP,Referral,Toys,Puzzles,no,PayPal,5,churned
163,84029G,24,3.39,United Kingdom,38,Male,New,Referral,Home Decor,Frames,no,Cash,5,churned
164,84352,4,7.5,United Kingdom,43,Male,VIP,Ads,Kitchen,Storage,no,PayPal,8,active
165,84754,27,1.06,United Kingdom,40,Male,Regular,Ads,Clothing,Women,no,PayPal,9,churned
166,84029E,24,3.39,United Kingdom,47,Female,VIP,Referral,Stationery,Art,no,Cash,3,churned
167,21485,24,4.25,United Kingdom,59,Female,VIP,Ads,Electronics,Accessories,no,Cash,4,churned
168,21143,27,1.65,United Kingdom,77,Male,Regular,Ads,Home Decor,Decor,no,Credit Card,1,churned
169,21146,27,1.65,United Kingdom,72,Male,New,Organic,Electronics,Gadgets,no,Bank Transfer,2,churned
170,22632,27,2.1,United Kingdom,61,Male,VIP,Ads,Home Decor,Frames,no,PayPal,4,active
171,22633,27,2.1,United Kingdom,72,Female,New,Ads,Toys,Outdoor,no,Credit Card,3,active
172,22737,27,1.45,United Kingdom,23,Male,Regular,Email,Home Decor,Lights,no,Cash,9,churned
173,84992,27,0.42,United Kingdom,59,Female,VIP,Ads,Home Decor,Decor,no,Bank Transfer,9,active
174,84991,27,0.42,United Kingdom,78,Male,New,Referral,Stationery,Art,no,Credit Card,1,churned
175,21977,27,0.42,United Kingdom,35,Female,Regular,Ads,Stationery,Books,no,PayPal,9,churned
176,21213,27,0.42,United Kingdom,63,Male,VIP,Referral,Stationery,Pens,no,Credit Card,2,churned
177,20724,10,0.85,United Kingdom,65,Female,Regular,Referral,Electronics,Cables,no,Credit Card,3,active
178,21527,2,7.5,United Kingdom,41,Male,VIP,Ads,Toys,Puzzles,no,Bank Transfer,5,churned
179,21531,6,2.55,United Kingdom,54,Male,VIP,Organic,Clothing,Kids,no,Credit Card,1,churned
180,22072,4,3.75,United Kingdom,42,Female,New,Referral,Kitchen,Utensils,no,Bank Transfer,8,active
181,22356,10,0.85,United Kingdom,62,Male,Regular,Email,Toys,Kids,no,PayPal,8,active
182,22457,6,2.95,United Kingdom,64,Male,Regular,Ads,Home Decor,Frames,yes,Credit Card,1,churned
183,22423,1,7.5,United Kingdom,21,Male,Regular,Referral,Clothing,Kids,no,PayPal,6,active
184,22838,1,7.5,United Kingdom,38,Female,New,Ads,Kitchen,Appliances,no,Cash,2,active
185,21217,1,7.5,United Kingdom,32,Male,Regular,Organic,Home Decor,Frames,no,Bank Transfer,5,churned
186,22839,1,7.5,United Kingdom,42,Female,VIP,Ads,Kitchen,Appliances,no,Bank Transfer,1,churned
187,22669,5,2.95,United Kingdom,20,Male,New,Ads,Home Decor,Lights,no,Cash,3,churned
188,21098,12,1.25,United Kingdom,63,Male,New,Ads,Kitchen,Storage,no,Cash,4,churned
189,22812,12,1.95,United Kingdom,53,Male,New,Referral,Electronics,Accessories,no,Bank Transfer,2,churned
190,21587,12,2.55,United Kingdom,50,Female,New,Ads,Clothing,Women,no,Bank Transfer,3,active
191,22145,6,2.1,United Kingdom,20,Male,New,Referral,Electronics,Cables,no,Bank Transfer,9,active
192,22862,4,4.25,United Kingdom,53,Male,Regular,Referral,Toys,Puzzles,no,PayPal,8,churned
193,22789,8,1.95,United Kingdom,65,Female,VIP,Referral,Electronics,Accessories,no,Bank Transfer,5,churned
194,Other,4,4.95,United Kingdom,26,Male,Regular,Ads,Clothing,Men,no,Credit Card,2,churned
195,22652,10,1.65,United Kingdom,47,Female,New,Ads,Home Decor,Frames,no,Cash,3,churned
196,84991,24,0.55,United Kingdom,65,Female,VIP,Ads,Clothing,Kids,no,Credit Card,9,churned
197,22417,12,0.55,United Kingdom,18,Male,VIP,Email,Kitchen,Appliances,no,Cash,9,active
198,22665,6,2.95,United Kingdom,74,Female,New,Email,Stationery,Art,no,Bank Transfer,5,active
199,22666,6,2.95,United Kingdom,39,Male,Regular,Ads,Kitchen,Appliances,no,Cash,8,churned
200,22907,12,0.85,United Kingdom,58,Female,VIP,Organic,Kitchen,Storage,no,Bank Transfer,8,active
201,84378,12,1.25,United Kingdom,19,Female,Regular,Organic,Stationery,Books,no,Credit Card,8,active
202,Other,1,7.5,United Kingdom,74,Male,VIP,Ads,Toys,Kids,yes,Bank Transfer,5,churned
203,20914,6,2.95,United Kingdom,29,Male,VIP,Ads,Home Decor,Lights,no,Cash,4,churned
204,21916,24,0.42,United Kingdom,54,Male,Regular,Referral,Toys,Outdoor,no,Credit Card,7,churned
205,Other,2,6.35,United Kingdom,21,Female,VIP,Referral,Home Decor,Frames,no,Bank Transfer,8,churned
206,22844,2,7.5,United Kingdom,63,Male,Regular,Ads,Kitchen,Storage,no,Credit Card,5,active
207,47591D,8,1.95,United Kingdom,69,Female,New,Email,Toys,Kids,no,Credit Card,8,active
208,22367,8,1.95,United Kingdom,46,Female,Regular,Ads,Toys,Puzzles,no,Cash,8,active
209,22624,2,7.5,United Kingdom,65,Male,New,Email,Stationery,Art,yes,PayPal,1,churned
210,22378,5,2.1,United Kingdom,26,Female,VIP,Ads,Home Decor,Decor,no,Bank Transfer,6,active
211,22139,3,4.95,United Kingdom,72,Male,Regular,Ads,Toys,Outdoor,yes,Bank Transfer,6,churned
212,22617,3,4.95,United Kingdom,35,Male,VIP,Referral,Electronics,Accessories,no,PayPal,7,churned
213,Other,12,0.85,United Kingdom,29,Female,New,Ads,Electronics,Cables,no,Credit Card,6,churned
214,22418,24,0.85,United Kingdom,72,Female,Regular,Email,Kitchen,Utensils,no,Cash,5,churned
215,22748,6,2.1,United Kingdom,68,Female,New,Referral,Electronics,Accessories,no,Credit Card,3,churned
216,22569,4,3.75,United Kingdom,43,Female,New,Email,Toys,Puzzles,no,Credit Card,6,churned
217,22505,4,4.95,United Kingdom,29,Female,VIP,Email,Kitchen,Storage,no,Credit Card,8,active
218,Other,27,0.21,United Kingdom,61,Female,New,Email,Clothing,Women,no,Cash,5,churned
219,22623,3,4.95,United Kingdom,78,Male,VIP,Ads,Clothing,Men,no,Cash,6,active
220,22622,2,7.5,United Kingdom,63,Male,VIP,Referral,Clothing,Kids,no,PayPal,8,churned
221,21790,12,0.85,United Kingdom,50,Male,Regular,Email,Toys,Puzzles,no,Bank Transfer,7,churned
222,22548,12,1.25,United Kingdom,69,Female,VIP,Referral,Toys,Outdoor,no,Credit Card,4,churned
223,Other,1,7.5,United Kingdom,63,Female,VIP,Referral,Home Decor,Lights,no,Credit Card,4,active
224,Other,2,1.25,United Kingdom,69,Female,VIP,Email,Home Decor,Lights,no,PayPal,9,churned
225,Other,12,2.1,United Kingdom,36,Female,New,Referral,Electronics,Cables,no,Bank Transfer,7,churned
226,22423,1,7.5,United Kingdom,53,Male,New,Ads,Electronics,Accessories,no,Cash,6,churned
227,71477,1,3.25,United Kingdom,44,Male,Regular,Email,Toys,Outdoor,no,Credit Card,4,churned
228,Other,3,7.5,United Kingdom,33,Male,New,Ads,Home Decor,Lights,yes,Bank Transfer,7,churned
229,22743,6,2.95,United Kingdom,47,Female,VIP,Email,Electronics,Gadgets,no,Cash,4,churned
230,22744,6,2.95,United Kingdom,69,Female,VIP,Ads,Home Decor,Frames,no,Bank Transfer,6,churned
231,22727,4,3.75,United Kingdom,29,Male,VIP,Referral,Toys,Kids,yes,Credit Card,6,churned
232,21080,24,0.85,United Kingdom,33,Male,New,Referral,Toys,Outdoor,no,Credit Card,5,active
233,Other,1,7.5,United Kingdom,54,Male,Regular,Ads,Stationery,Pens,no,Credit Card,6,churned
234,Other,24,0.85,United Kingdom,48,Male,VIP,Email,Home Decor,Frames,no,PayPal,1,churned
235,Other,12,1.65,United Kingdom,43,Female,VIP,Ads,Clothing,Women,no,Bank Transfer,7,active
236,Other,6,2.55,United Kingdom,72,Male,VIP,Ads,Home Decor,Decor,no,Bank Transfer,3,active
237,Other,6,2.55,United Kingdom,21,Female,Regular,Email,Electronics,Cables,no,Bank Transfer,4,churned
238,22585,12,1.25,United Kingdom,49,Male,VIP,Referral,Stationery,Art,no,Credit Card,3,churned
239,Other,2,7.5,United Kingdom,75,Male,Regular,Referral,Kitchen,Utensils,yes,Credit Card,2,active
240,84347,6,2.55,United Kingdom,79,Female,VIP,Referral,Clothing,Men,no,Credit Card,5,churned
241,22077,12,1.65,United Kingdom,41,Female,New,Email,Stationery,Pens,no,PayPal,7,active
242,21808,6,3.75,United Kingdom,63,Female,VIP,Referral,Stationery,Art,no,Bank Transfer,7,active
243,21804,6,3.75,United Kingdom,57,Male,VIP,Organic,Kitchen,Utensils,no,Bank Transfer,2,churned
244,22130,12,0.85,United Kingdom,71,Male,Regular,Referral,Electronics,Accessories,no,Cash,7,active
245,21591,24,1.25,United Kingdom,69,Female,VIP,Ads,Home Decor,Frames,no,Bank Transfer,3,active
246,Other,6,2.55,United Kingdom,41,Female,VIP,Ads,Electronics,Accessories,no,Bank Transfer,8,churned
247,22952,24,0.55,United Kingdom,49,Male,Regular,Referral,Toys,Puzzles,no,Credit Card,9,churned
248,22300,6,2.55,United Kingdom,78,Male,VIP,Referral,Toys,Kids,no,PayPal,7,churned
249,22301,6,2.55,United Kingdom,64,Female,VIP,Referral,Electronics,Cables,no,Cash,6,active
250,Other,6,2.55,United Kingdom,35,Female,New,Email,Home Decor,Decor,no,Bank Transfer,3,churned
251,Other,6,2.95,United Kingdom,58,Female,Regular,Email,Toys,Outdoor,no,Cash,8,active
252,21107,6,2.95,United Kingdom,69,Female,VIP,Organic,Home Decor,Frames,no,PayPal,2,active
253,Other,6,2.95,United Kingdom,26,Female,New,Organic,Electronics,Cables,no,PayPal,4,churned
254,21212,24,0.55,United Kingdom,49,Female,New,Referral,Toys,Outdoor,no,Cash,7,churned
255,22575,8,1.95,United Kingdom,54,Male,VIP,Organic,Clothing,Kids,no,Cash,7,churned
256,22812,24,1.95,United Kingdom,29,Female,VIP,Ads,Kitchen,Storage,no,PayPal,3,active
257,20728,10,1.65,United Kingdom,77,Male,VIP,Ads,Electronics,Cables,no,PayPal,6,churned
258,22557,12,1.65,United Kingdom,27,Male,New,Referral,Kitchen,Storage,no,PayPal,6,churned
259,22555,12,1.65,United Kingdom,62,Female,New,Ads,Kitchen,Utensils,no,Cash,3,churned
260,22661,10,0.85,United Kingdom,67,Female,New,Ads,Clothing,Kids,no,Cash,3,active
261,21980,24,0.29,United Kingdom,77,Male,Regular,Referral,Toys,Kids,yes,Cash,1,churned
262,22630,12,1.95,United Kingdom,58,Male,New,Organic,Toys,Kids,no,Bank Transfer,4,churned
263,85227,12,0.85,United Kingdom,66,Male,New,Email,Electronics,Accessories,no,Credit Card,1,active
264,22566,12,0.85,United Kingdom,78,Female,VIP,Ads,Stationery,Art,no,Cash,2,active
265,Other,1,7.5,United Kingdom,44,Female,New,Email,Toys,Kids,no,Bank Transfer,3,active
